textid	pair	text	label
0	This example is Sports	Los Angeles, CA (Sports Network) - Current world No. 1 Lindsay Davenport and former top-ranked superstar Serena Williams will be among those seeing action Wednesday night at the season-ending \$3 million WTA Tour Championships.	ENTAILMENT
1	This example is Sports	Los Angeles, CA (Sports Network) - Jose Lima tossed a five-hit shutout and Shawn Green homered twice as the Los Angeles Dodgers staved off elimination in the National League Division Series with a 4-0 blanking of the St.	ENTAILMENT
2	This example is Sports	 TALLAHASSEE, Fla. (Sports Network) - Florida State and West  Virginia will meet in the Gator Bowl on New Year's Day.	ENTAILMENT
3	This example is Sports	San Diego, CA (Sports Network) - Adrian Beltre recorded three hits and two runs scored to lead the Los Angeles Dodgers to a 9-6 victory over the San Diego Padres in the finale of a three-game series at Petco Park.	ENTAILMENT
4	This example is Sports	 LOS ANGELES (Sports Network) - Los Angeles Dodgers third  baseman Robin Ventura has decided to call it quits following a  16-year Major League Baseball career.	ENTAILMENT
5	This example is Sports	 PHILADELPHIA (Sports Network) - Owners on Thursday  unanimously voted to extend the term of baseball commissioner  Bud Selig for three years through 2009.	ENTAILMENT
6	This example is Sports	Arlington, TX (Sports Network) - Adrian Gonzalez stroked two hits and knocked in three runs, Chris Young pitched six strong innings for the win, and the Texas Rangers salvaged a four-game set with a 6-3 victory over Anaheim one night after being 	ENTAILMENT
7	This example is Sports	Philadelphia, PA (Sports Network) - Southern California and Oklahoma will meet for the national championship in the Orange Bowl on January 4 after the schools finished 1-2 in the final BCS standings released Sunday afternoon.	ENTAILMENT
8	This example is Sports	Sapporo, Japan (Sports Network) - Daisuke Matsuzaka went the distance on a five-hitter to lead Japan to a 5-1 victory over the Major League Baseball All- Stars in the sixth of an eight-game exhibition series.	ENTAILMENT
9	This example is Sports	Villanova, PA (Sports Network) - Russian Nadia Petrova defeated fellow countrywoman Anastasia Myskina in quarterfinal action Friday at the Advanta Championships.	ENTAILMENT
10	This example is Sports	Albuquerque, NM (Sports Network) - Alex Smith passed for 167 yards and ran for a pair of touchdowns, leading No. 14 Utah to a 28-7 victory over New Mexico in a Mountain West Conference matchup.	ENTAILMENT
11	This example is Sports	 Miami, Fla. (Sports Network) - Miami Dolphins head coach  Dave Wannstedt has officially named Jay Fiedler the starting  quarterback for Sunday's season opener against the Tennessee  Titans.	ENTAILMENT
12	This example is Sports	 San Diego, Calif. (Sports Network) - The San Diego Chargers  Monday named Drew Brees as the team's starting quarterback for  their regular-season opener on September 12 against Houston.	ENTAILMENT
13	This example is Sports	 INDIANAPOLIS, Ind. (Sports Network) - The NCAA announced  the field of 16 teams competing for the 2004 Division I-AA  Football Championship on Sunday.	ENTAILMENT
14	This example is Sports	Barcelona, Spain (Sports Network) - Real Madrid coach Jose Antonio Camacho tried to shake things up with some major changes to his lineup.	ENTAILMENT
15	This example is Sports	Los Angeles, CA (Sports Network) - Steve Finley #39;s two-run single capped a five-run ninth inning, leading the Los Angeles Dodgers to a 5-4 victory over the Colorado Rockies at Dodger Stadium in the second contest of a four-game series.	ENTAILMENT
