textid	pair	text	label
0	This example is Sports	Sven-Goran Eriksson insisted on Tuesday that he had not been approached by Real Madrid to take over as their new coach. Sven-Goran Eriksson insisted on Tuesday that he had not been approached by Real Madrid to take over as their new coach.	ENTAILMENT
1	This example is Sci/Tech	Israeli army arrested six Palestinians in the West Bank, Palestinian security sources and witnesses said Saturday. The sources said Israeli army arrested three residents and 	ENTAILMENT
2	This example is World	The Microsoft Download Centre has been updated with some graphical improvements on both the search, listings and item pages. Crucially in the new look download centre many application downloads are now being 	ENTAILMENT
3	This example is World	Defensive end Shaun Ellis and the New York Jets are  quot;real, real close quot; to an agreement on a contract extension. Ellis said Sunday that as far as he knew, there was no final agreement.	ENTAILMENT
4	This example is Sci/Tech	One Way Link Building Secures Search Engine Ranking Results\\One-way link building is a great way to improve your link popularity and ranking in the search engines. One-way links are more difficult to obtain than traditional reciprocal links, but pay off in securing solid long-term search engine ranking results.\\Why Are One-Way ...	ENTAILMENT
5	This example is World	The two companies do not operate in all the same markets, but Monday's warnings seemed to suggest that both were suffering from tougher competition in some areas.	ENTAILMENT
6	This example is World	November 04, 2004 - We sometimes hear of big-name games being released simultaneously across the globe. Typically this means the game will be released on the same day in each supported territory, although 	ENTAILMENT
7	This example is Sci/Tech	 Video gaming has long suffered a reputation for creating sedentary and solitary zombies, pasty and pudgy except for their muscular thumbs. A growing number of games, however, are getting gamers off their couches and on their feet, not only shouting, gyrating, singing and dancing, but sometimes -- gasp! -- playing nicely with others, face-to-face, in groups.	ENTAILMENT
8	This example is World	IceRocket Launches RSS Feed Builder\\IceRocket is at it again! The search engine that brought the world a hip alternative to Google along with news, blog, and MoBlog search has just added an excellent tool for web site publishers, an RSS Feed Builder. IceRocket's RSS Builder is an easy to use ...	ENTAILMENT
9	This example is Sports	AP - The United States expects to sit down with Iran at an international conference to discuss stability in Iraq, U.S. Secretary of State Colin Powell said Tuesday. Washington and Tehran have no diplomatic relations.	ENTAILMENT
10	This example is Sci/Tech	Some companies are trying to rework policies in order to rehire retired professionals who want to return to work on a limited basis.	ENTAILMENT
11	This example is World	Amazon UK has entered the DVD rental business in a bid to cash-in on this growing sector of the entertainment industry. For 7.99 a month, subscribers can have two movies at home at one time, with a total of four DVD rentals a month.	ENTAILMENT
12	This example is World	Microsoft Tuesday released a handful of software products that are key elements in its drive to develop a comprehensive management platform for Windows.	ENTAILMENT
13	This example is Sci/Tech	Samsung and Sony have signed a five-year cross-licensing agreement covering a wide range of patents for digital products. The agreement should reduce the potential for disputes 	ENTAILMENT
14	This example is World	Formula One champion Jacques Villeneuve of Canada will drive for Renault for the final three races of this season. Villeneuve, who has not raced in Formula One this season, will debut for Renault this month at the Chinese Grand Prix in Shanghai.	ENTAILMENT
