textid	pair	text	label
0	This example is Sports	CBC SPORTS ONLINE - Gerry Hunsicker has decided to step down as general manager of the Houston Astros after nine years on the job.	ENTAILMENT
1	This example is Sports	CBC SPORTS ONLINE - Vijay Singh officially supplanted Tiger Woods as the world #39;s finest golfer, earning PGA player of the year honours on Monday.	ENTAILMENT
2	This example is Sports	CBC SPORTS ONLINE - Austrians Michael Walchhofer and Hermann Maier finished 1-2 Thursday in training for this weekend #39;s season-opening World Cup downhill race in Lake Louise, Alta.	ENTAILMENT
3	This example is Sports	 HOUSTON (Sports Network) - The Houston Rockets exercised  the fourth-year option on center Yao Ming's contract on  Thursday.	ENTAILMENT
4	This example is Sports	CBC SPORTS ONLINE - Daniel Nestor and partner Mark Knowles on Friday battled their way to a fourth championship appearance of the tennis season.	ENTAILMENT
5	This example is Sports	Birmingham, England (Sports Network) - West Bromwich Albion coach Gary Megson will not re-sign with the club when his contract runs out on June 30, 2005.	ENTAILMENT
6	This example is Sports	 PORTLAND, Ore., (Sports Network) - Portland Trail Blazers  forward Qyntel Woods was suspended without pay pending the  club's investigation regarding allegations by Multnomah County  for dog abandonment and by Clackamas County for dog fighting.	ENTAILMENT
7	This example is Sports	CBC SPORTS ONLINE - Former world No. 1 Kim Clijsters is not expected to play in next month #39;s Australian Open tennis tournament as she continues to recover from wrist surgery.	ENTAILMENT
8	This example is Sports	CBC SPORTS ONLINE - The Anaheim Angels suspended outfielder Jose Guillen for the rest of the season without pay Sunday following an outburst during a game the previous night.	ENTAILMENT
9	This example is Sports	Amsterdam, the Netherlands (Sports Network) - Ajax defender Hatem Trabelsi finally ended his holdout by signing a new two-year contract on Friday.	ENTAILMENT
10	This example is Sports	Manchester, England (Sports Network) - Gabriel Heinze is expected to finally make his debut for ninth-place Manchester United Saturday as the Red Devils travel to take on surprising Bolton.	ENTAILMENT
11	This example is Sports	CBC SPORTS ONLINE - Gary Sheffield of the New York Yankees underwent successful arthroscopic surgery on his left shoulder Tuesday.	ENTAILMENT
12	This example is Sports	CBC SPORTS ONLINE - Catcher Doug Mirabelli reportedly is the first of 16 free agents to re-sign with the World Series champion Boston Red Sox.	ENTAILMENT
13	This example is Sports	Madrid, Spain (Sports Network) - Argentine midfielder Diego Simeone is leaving Atletico Madrid for his native Racing Club Avellaneda.	ENTAILMENT
14	This example is Sports	Paris, France (Sports Network) - Second-seeded Lleyton Hewitt and third-seeded Tim Henman each posted second-round victories Tuesday at the \$3.	ENTAILMENT
