textid	pair	text	label
0	This example is Sports	Madrid, Spain (Sports Network) - Real Madrid #39;s  #39;galacticos #39; dominated Sunday at the Bernabeu in a 5-0 demolition of Levante.	ENTAILMENT
1	This example is Sports	 DALLAS (Sports Network) - Dirk Nowitzki scored 25 points  and grabbed 10 rebounds as the Dallas Mavericks overcame an  early 17-point deficit for a 101-98 overtime victory against  Golden State at American Airlines Center.	ENTAILMENT
2	This example is Sports	Phoenix, AZ (Sports Network) - Quentin Richardson hit six of Phoenix #39;s 13 three-pointers on his way to a 26-point effort, as the Suns ran away from the Orlando Magic, 121-100, at America West Arena.	ENTAILMENT
3	This example is Sports	 ORLANDO, Fl. (Sports Network) - Hedo Turkoglu came off the  bench to contribute 19 points and Dwight Howard netted 15  points with 11 rebounds, leading the Orlando Magic over the  Dallas Mavericks, 94-84, at TD WaterHouse Center. Steve Francis  fell just shy of a triple-double, finishing with 16 points, 10  boards and nine assists while Grant Hill collected 17 points  with nine rebounds for Orlando, which handed the Mavericks  their first loss of the 2004 season.	ENTAILMENT
4	This example is Sports	 ORLANDO, Fl. (Sports Network) - Hedo Turkoglu came off the  bench to contribute 19 points and Dwight Howard netted 15  points with 11 rebounds, leading the Orlando Magic over the  Dallas Mavericks, 94-84, at TD WaterHouse Center. Steve Francis  fell just shy of a triple-double, finishing with 16 points, 10  boards and nine assists while Grant Hill collected 17 points  with nine rebounds for Orlando, which handed the Mavericks  their first loss of the 2004 season.	ENTAILMENT
5	This example is Sports	DALLAS (Sports Network) - Dirk Nowitzki scored 25 points and grabbed 10 rebounds as the Dallas Mavericks overcame an early 17-point deficit for a 101-98 overtime victory against Golden State at American Airlines Center.	ENTAILMENT
6	This example is Sports	(Sports Network) - Johan Santana continues his push for the American League Cy Young Award, as he takes the ball for the Minnesota Twins in the opener of a three-game series against the visiting Chicago White Sox.	ENTAILMENT
7	This example is Sports	CBC SPORTS ONLINE - Seattle Mariners outfielder Ichiro Suzuki is the new single-season singles king of Major League Baseball. Suzuki broke the 77-year-old record with his 199th single of the year.	ENTAILMENT
8	This example is Sports	Rotterdam, the Netherlands (Sports Network) - A top of the table clash between Schalke of the German Bundesliga and Dutch power Feyenoord highlights Matchday 4 of the UEFA Cup group stage.	ENTAILMENT
9	This example is Sports	COLUMBUS, Ohio (Sports Network) - Troy Smith threw for 241 yards and two touchdowns and ran for 145 yards and a score to lead the Ohio State Buckeyes to a 37-21 victory over No.	ENTAILMENT
10	This example is Sports	Cleveland, OH (Sports Network) - Jeff Garcia completed 15-of-24 passes for 180 yards, including a 46-yard touchdown pass to Quincy Morgan, leading Cleveland over Baltimore, 20-3, in the season-opener for both teams at Cleveland Browns Stadium.	ENTAILMENT
11	This example is Sports	CHAMPAIGN, Ill. (Sports Network) - Roger Powell Jr. scored 19 points and grabbed seven rebounds to lead fifth-ranked Illinois to a lopsided 91-73 win over No.	ENTAILMENT
12	This example is Sports	Indianapolis, IN (Sports Network) - Peyton Manning threw four touchdown passes and Mike Vanderjagt kicked a 35-yard field goal with two seconds remaining in the fourth quarter to give the Indianapolis Colts a 31-28 victory over the Minnesota Vikings at 	ENTAILMENT
13	This example is Sports	SPORTS NETWORK - Oakland Raiders offensive lineman Frank Middleton is expected to miss the remainder of the season because of a torn left quadriceps muscle that will require surgery.	ENTAILMENT
14	This example is Sports	 CHAMPAIGN, Ill. (Sports Network) - Roger Powell Jr. scored  19 points and grabbed seven rebounds to lead fifth-ranked  Illinois to a lopsided 91-73 win over No. 1 Wake Forest in the  ACC/Big Ten Challenge at Assembly Hall.	ENTAILMENT
15	This example is Sports	 NEW ORLEANS, La. (Sports Network) - New Orleans Hornets  center Jamaal Magloire is expected to be sidelined for up to  three months because of a dislocated right ring finger.	ENTAILMENT
16	This example is World	PC World - Here's a hands-on look at the moderately priced, multiformat DV-CP802.	ENTAILMENT
17	This example is Sports	Minneapolis, MN (Sports Network) - Gary Sheffield tied the game in the ninth inning with his second homer of the game and Hideki Matsui singled home Alex Rodriguez with the go-ahead run, as the New York Yankees rallied for a 13-10 victory over the ...	ENTAILMENT
18	This example is Sports	 AUBURN HILLS, Mich. (Sports Network) - Rasheed Wallace  racked up 23 points and 12 rebounds and five other Detroit  players scored in double-figures as the Pistons cruised to a  100-88 victory over Boston at the Palace at Auburn Hills.	ENTAILMENT
19	This example is Sports	(Sports Network) - Jerome Williams will take the mound for the first time in two months tonight, as the playoff-hopeful San Francisco Giants conclude their three-game series with the San Diego Padres at Petco Park.	ENTAILMENT
20	This example is Sports	Champaign, IL (Sports Network) - Taylor Stubblefield #39;s third touchdown catch of the day early in the fourth quarter sealed 15th-ranked Purdue #39;s 38-30 win over Illinois in the Big Ten opener for both schools at Memorial Stadium.	ENTAILMENT
21	This example is Sports	 EDEN PRAIRIE, Minn. (Sports Network) - Minnesota Vikings  wide receiver Randy Moss is listed as doubtful for Sunday's  game against the Jacksonville Jaguars with a right hamstring  injury.	ENTAILMENT
22	This example is Sports	Final Score: Connecticut 61, New York 51 New York, NY (Sports Network) - Nykesha Sales scored 15 points to lead Connecticut to a 61-51 win over New York in Game 1 of their best-of-three Eastern Conference Finals series at Madison Square Garden.	ENTAILMENT
23	This example is Sports	 MIAMI (Sports Network) - Frank Gore scored from one yard  out in the final minute to lift the third-ranked Miami  Hurricanes to a 41-38 victory over No. 18 Louisville in a  non-conference thriller at the Orange Bowl.	ENTAILMENT
24	This example is Sports	Alkmaar, the Netherlands (Sports Network) - Rangers #39; 16-match unbeaten run came to an end Thursday as it lost at AZ Alkmaar, 1-0, in a UEFA Cup encounter.	ENTAILMENT
25	This example is Sports	 AUBURN HILLS, Mich. (Sports Network) - Ron Artest scored 24  points, as Indiana defeated Detroit 97-82 in a game that was  stopped late in the fourth quarter due to a fight on the court  that spilled into the stands and included the fans.	ENTAILMENT
26	This example is Sports	Cleveland, OH (Sports Network) - LeBron James poured in a career-high 43 points to lead Cleveland to an easy 92-76 win over Detroit at Gund Arena.	ENTAILMENT
27	This example is Sports	(Sports Network) - The New York Knicks hope to get back to .500 this evening when they conclude a four-game road trip against the Dallas Mavericks at the AmericanAirlines Center.	ENTAILMENT
